address,suburb,postcode,state,Country,shortid,latitude,longitude,status
Uranus st,Padstow,2211,NSW,Australia,Q2UMZ,-33.9565073,151.0245629,cached
100 Magill Road,Norwood,5067,SA,Australia,1452,-34.9156188,138.6294555,cached
Lot 13765 Mitchell Creek Estate,Zuccoli,832,NT,Australia,NZQY4,-12.5039288,131.0037528,cached
Showground Road Gosford,Gosford,2250,NSW,Australia,1041,-33.4173515,151.3424266,cached
23 First Avenue,Beachmere,4510,QLD,Australia,73F9F,-27.1306091,153.050407,cached
55 Currong Street North,Braddon,2612,ACT,Australia,3460,-35.27738970000001,149.1360971,cached
13 Banggu street,Throsby,2914,ACT,Australia,HIVXL,-35.1895855,149.1629143,cached
7B Prevost place,Dunlop,2911,ACT,Australia,MN69J,-35.2184251,149.0164113,cached
7A Prevost place,Dunlop,2615,ACT,Australia,W9XTR,-35.2184251,149.0164113,cached
39 Broadway Avenue,Bassendean,6054,WA,Australia,2311,-31.90288679999999,115.9428105,cached
Lot 548 Pebblestone Drive,Kirwan,4817,QLD,Australia,6154,-19.2976399,146.7102804,cached
Foote Avenue,Kilburn,5159,SA,Australia,1696,-34.8536044,138.5827355,cached
"Lot 105 Satinash Court, Kingfisher Park Estate, Tinana",Maryborough,4650,QLD,Australia,1GEIM,-25.551804,152.6686391,cached
55 Currong Street North,Braddon,2612,ACT,Australia,3462,-35.27738970000001,149.1360971,cached
Lot 105 Howard Court,Kyogle,2474,NSW,Australia,DQ2YD,-28.6163469,153.0134003,cached
81 Torwood Avenue,Treeby,6164,WA,Australia,5255,-32.1202647,115.8831662,cached
13 Miami Place,Pallara,4110,QLD,Australia,4728,-27.6165856,153.0088942,cached
14 Santorini Place,Forest Lake,4078,QLD,Australia,2517,-27.6262851,152.9630238,cached
17 Zanes place,Logan Village,4207,QLD,Australia,8768,-27.7608908,153.1100271,cached
28 Foote Avenue,Kilburn,5084,SA,Australia,1779,-34.853263,138.5847236,cached
1 Abell Road,Cannonvale,4802,QLD,Australia,7671,-20.2890049,148.6785799,cached
Canopy's Edge BLVD,Smithfield,4878,QLD,Australia,2020,-16.8440958,145.6863401,cached
2/22 Creighton Street,Mount Gravatt,4122,QLD,Australia,2880,-27.5357612,153.0755391,cached
60 North High Street,Brassall,4113,QLD,Australia,2885,-27.5852966,152.7371655,cached
9 Fuchsia court,Norman Gardens,4701,QLD,Australia,7294,-23.3281027,150.5194375,cached
23/8 Parkside Mews,Loganlea,4131,QLD,Australia,2WVN3,-27.6837097,153.135855,cached
22 Trident Road,Seaford Meadows,5169,SA,Australia,1783,-35.1691859,138.4883019,cached
33 Talbot Street,Colac,3250,VIC,Australia,5499,-38.3478258,143.5959121,cached
3 Waltz Street,Ripley,4306,QLD,Australia,L4591,-27.6682206,152.7719914,cached
Mann street Gosford,Gosford,2250,NSW,Australia,1959,-33.4228188,151.3427273,cached
Fountain street,Pimpama,4209,QLD,Australia,3KIEH,-27.8137513,153.2872965,cached
211 Parklands Boulevard,Little Mountain,4551,QLD,Australia,MTYQ7,-26.7754788,153.1029508,cached
"1/12 Undoolya Road, Alice Springs",White Gums,870,NT,Australia,78GMC,-23.6974352,133.8888389,cached
"31 Whipray Cct,",Berrimah,821,NT,Australia,X7GQH,-12.4131202,130.9199962,cached
Woodville road,Villawood,2163,NSW,Australia,1039,-33.8802377,150.9784191,cached
14 casuarina street Narangba,Narangba,4504,QLD,Australia,82H8T,-27.1847413,152.9246651,cached
Grand promenade,Dianella,6059,WA,Australia,9545,-31.9017619,115.8770568,cached
7 Fox St,Redbank,4301,QLD,Australia,3348,-27.6049579,152.861921,cached
18 University Way,Chancellor Park,4556,QLD,Australia,3403,-26.7175241,153.049437,cached
26 Morris Crescent,Gobbagombalin,2650,NSW,Australia,2215,-35.0720486,147.3368219,cached
411 Oxley Avenue,Redcliffe,4020,QLD,Australia,21JSF,-27.2342555,153.1084535,cached
613/113 Grand Boulevard,Joondalup,6027,WA,Australia,754,-31.7412028,115.7706669,cached
129-131 Russell Street,Cleveland,4163,QLD,Australia,5782,-27.5302255,153.2640295,cached
68 Thompson Road,Kallangur,4503,QLD,Australia,4566,-27.2375576,152.9775351,cached
9 Maher Place,Gleneagle,4285,QLD,Australia,282JK,-27.9560449,152.9932388,cached
57 Jannik Terrace,Hervey Bay,4069,QLD,Australia,IGZEY,-25.2690357,152.8194585,cached
92 Lydon Boulevard,Atwell,6164,WA,Australia,EA7Z4,-32.1351035,115.8623592,cached
2 Wilkins Street,Enfield,5085,SA,Australia,1EJEA,-34.8671635,138.6050498,cached
Rivervale,Rivervale,6103,WA,Australia,EHTL5,-31.9656577,115.9171547,cached
23 Werlatye Court,Mount Johns,874,NT,Australia,5923,-23.7233443,133.8842073,cached
9 Davis Court,Rosebery,830,NT,Australia,6931,-12.5085304,130.983777,cached
Lindsay Street,Sturt,5047,SA,Australia,5939,-35.0198144,138.5519029,cached
172 Gympie Street,Northgate,4013,QLD,Australia,6740,-27.3909591,153.0685239,cached
18 forde St,Kippa Ring,4021,QLD,Australia,8301,-27.2228325,153.0843046,cached
125 York St,Nundah,4012,QLD,Australia,8356,-27.4031736,153.0698157,cached
54 Steiner Crescent,baringa,4551,QLD,Australia,8357,-26.8056141,153.0734007,cached
37A Dockett Road,Elizabeth Downs,5113,SA,Australia,27J7H,-34.70596099999999,138.6888234,cached
2/11 Cardamon Crescent,Glenvale,4350,QLD,Australia,8217,-27.5672278,151.9135617,cached
11 Shellwater Place,Bushland Beach,4814,QLD,Australia,8396,-19.197537,146.6911925,cached
35 Renelagh Street,Glengowrie,5043,SA,Australia,9151,-34.9895131,138.5301901,cached
62 Elof Road,Caboolture,4510,QLD,Australia,1496,-27.0637259,152.9658974,cached
30 Gray Street,Corinda,4075,QLD,Australia,8428,-27.4635753,153.050272,cached
81 Mercy Circuit,Park Ridge,4125,QLD,Australia,3247,-27.7137711,153.0915057,cached
Williams Avenue,Plympton Park,5038,SA,Australia,9E55X,-34.9644177,138.551906,cached
"4 Thorburn Way, Shenton Park",Shenton Park,6008,WA,Australia,N791V,-31.95539459999999,115.803319,cached
29 Muttama Parade,Gobbagombalin,2650,NSW,Australia,3860,-35.0768197,147.3392031,cached
Ivory Crescent,Pallara,4110,QLD,Australia,3614,-27.6101092,153.0153172,cached
4 Belmont Close,Clovelly Park,5042,SA,Australia,9250,-35.00188139999999,138.5732924,cached
Sprite Way,Brassall,4305,QLD,Australia,74CGR,-27.5812664,152.7360811,cached
17 Zanes Pl,Logan Village,4207,QLD,Australia,AYINM,-27.7608908,153.1100271,cached
15 Carson St,Parafield Gardens,5107,SA,Australia,3164,-34.7717178,138.6021106,cached
71 Light Square,Adelaide,5000,SA,Australia,3180,-34.9257349,138.5925465,cached
192 Cross Street,Goodna,4300,QLD,Australia,8UKKB,-27.6088342,152.8805798,cached
"60 Ormond Ave ,",Clearview SA,5085,SA,Australia,3297,-34.8604162,138.6115963,cached
Normanby Way,Jimboomba,4280,QLD,Australia,1803,-27.820206,153.0073498,cached
52 clifford street Stafford qld,Stafford,4053,QLD,Australia,7STK1,-27.4079156,153.020776,cached
9 Lizzie Street,Rasmussen,4815,QLD,Australia,9449,-19.3596125,146.7270234,cached
49A Arthur Street,Tranmere,5073,SA,Australia,HI9A7,-34.9036295,138.663371,cached
35 Armstrong Street,Berserker,4701,QLD,Australia,CMKID,-23.3660559,150.5202496,cached
63 Magdalene Tce,Pasadena,5042,SA,Australia,F7PWZ,-34.9993902,138.5840246,cached
